SessionID,Name,Description,Severity,Line,Column,ParentFile,TopLevelCategory,Code
098b900f-8965-427d-87ba-ccd671309180,RecursiveForwardAliasError,** MSC-WARNING - MSCEWI2001 - 'Object3' HAS RECURSIVE REFERENCES. FORWARD ALIAS CONVERSION COULD NOT BE COMPLETED **,Low,0,0,CLI_T12/CLI/CustomizeNames/SQL_BasicSample.sql,No category specified,MSCEWI2001
098b900f-8965-427d-87ba-ccd671309180,RecursiveForwardAliasError,** MSC-WARNING - MSCEWI2001 - 'Object3' HAS RECURSIVE REFERENCES. FORWARD ALIAS CONVERSION COULD NOT BE COMPLETED **,Low,0,0,CLI_T12/CLI/CustomizeNames/SQL_BasicSample.sql,No category specified,MSCEWI2001
098b900f-8965-427d-87ba-ccd671309180,RecursiveForwardAliasError,** MSC-WARNING - MSCEWI2001 - 'COLUMN1' HAS RECURSIVE REFERENCES. FORWARD ALIAS CONVERSION COULD NOT BE COMPLETED **,Low,0,0,CLI_T12/CLI/CustomizeNames/SQL_BasicSample.sql,No category specified,MSCEWI2001
098b900f-8965-427d-87ba-ccd671309180,InvalidDefaultValue,** MSC-WARNING - MSCEWI2004 - DEFAULT CURRENT_TIME NOT VALID FOR DATA TYPE **,Low,124,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2004
098b900f-8965-427d-87ba-ccd671309180,InvalidDefaultValue,** MSC-WARNING - MSCEWI2004 - DEFAULT CURRENT_TIME NOT VALID FOR DATA TYPE **,Low,379,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2004
098b900f-8965-427d-87ba-ccd671309180,InvalidDefaultValue,** MSC-WARNING - MSCEWI2004 - DEFAULT CURRENT_TIME NOT VALID FOR DATA TYPE **,Low,78224,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2004
098b900f-8965-427d-87ba-ccd671309180,FunctionNotSupported,** MSC-ERROR - MSCEWI1031 - PRIOR FUNCTION NOT SUPPORTED **,Medium,0,0,CLI_T12/CLI/CustomizeNames/SQL_BasicSample.sql,Function statements,MSCEWI1031
098b900f-8965-427d-87ba-ccd671309180,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 1 OF THE SOURCE CODE. **,Critical,1,1,Could not obtain the relative path,No category specified,MSCEWI1001
098b900f-8965-427d-87ba-ccd671309180,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 4 OF THE SOURCE CODE. **,Critical,4,2,Could not obtain the relative path,No category specified,MSCEWI1001
098b900f-8965-427d-87ba-ccd671309180,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 5 OF THE SOURCE CODE. **,Critical,5,1,Could not obtain the relative path,No category specified,MSCEWI1001
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,7299,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,7334,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,7382,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,7441,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,7482,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,12766,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,29668,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,29704,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,29752,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,29811,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,29852,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,36398,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64263,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64295,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64339,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64395,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64518,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64748,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64780,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64824,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64880,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65080,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65232,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65264,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65308,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65364,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65403,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65526,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65862,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,66208,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,66272,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
